INFORME MENSUAL DE PRODUCCION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Disponibilidad ,Rendimiento,Calidad,,, OEE NOVOFLEX ,,,,, 0.9599 , 0.8948 , 0.9016 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVOFLEX,,,95.99%,89.48%,90.16%,,,77.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MES:,MAYO,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAS TRABAJADOS :  ,,22 Dias,"31,680",528.00 Horas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDIDO,CODIGO DE MAQUINA,FECHA,CODIGO PRODUCTO,O/P,DESTINO,N° DE TRABAJOS,COMPAÑÍA,NOMBRE DEL CLIENTE,PRODUCTO,CLIENTE Kg,TIEMPO DE PARADAS EN MINUTOS,,,,,,,,,,,,,,,,,,TOTAL TIEMPO PARADAS  min.,TIEMPO EFECTIVO PRODUCCION  min.,TOTAL TIEMPO PRODUCCION  min.,DIAS TRABAJADOS,EFICIENCIA DE MAQUINA ,ENTRADA DE MATERIA PRIMA,,,,,,,,,,,,,,,,,SALIDA DE MATERIALES,,,,,,,,,,,,,,,,,,DATOS DE TINTA Kg.,,,VELOCIDAD m/min.,,DESPERDICIO,,,,,,,,OBSERVACIONES,,,,,,,,,,,
,,,,,,,,,,,PREPARACION,PRE-PRENSA,COLORIMETRIA,CALIDAD,MANTENIMIENTO,Limpieza general de Maquina,PLANIFICACION,LIMPIEZA DE PLANCHA,LIMPIEZA DE TAMBOR CENTRAL,LIMPIEZA DE RODILLO,PRODUCCION,PRUEBAS,LOGISTICA,FALLAS ELECT,APROBACIONES,ESTANDAR DE COLOR,RRHH,FALTA DE INSUMO/PEDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PELICULAS,,,,,TINTAS Kg,,,,,,,,,CONSUMO,SOLVENTE Lts,,PELICULA DEVOLUCION,,,TINTAS KG EN DEVOLUCION,,,,,,,,PRODUCTO TERMINADO,,,,,SOLVENTE Lts,,CONSUMO DE TINTA BLANCO,CONSUMO DE TINTA VARIAS,CONSUMO TOTAL,VELOCIDAD DE MAQUINA TEORICA ML/min.,VELOCIDAD DE MAQUINA REAL ML/min.,m/l,,m2,,Kg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m/l,GRAMAJE g/m2,ANCHO mm,m2,Kg,# COLORES,BLANCO,AZUL REFLEX,MAGENTA,AMARILLO,CYAN,ROJO,OTRAS,TOTAL,,PRODUCCION,LIMPIEZA,m/l,m2,Kg,BLANCO,AZUL REFLEX,MAGENTA,AMARILLO,CYAN,ROJO,OTRAS,TOTAL,m/l,GRAMAJE g/m2,ANCHO mm,m2,Kg,PRODUCCION,LIMPIEZA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m/l,,,,,,,,,,,,CANT,%,CANT,%,CANT,%,MAT. OBSERVACION,MAT. RECHAZADO,,Aplic Tinta Humeda,Tipo de Trabajo ,nº de pantone,M/L Estandar de Dsp,Metros de Dsp,Cumplimiento,metros op,Cumplimiento,material reciclado,Proveedor,Material
,,,,,,,,,,Trabajos Repetidos en el mes =>,,,,,,, ,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-6114,NF,5/4/26,TMAPAL121A001,16642,LAMINACION,1,MCL,"ALIMENTOS POLAR COMERCIAL, C.A.",ALUMINIO LAMINADO IMPRESO MAVESA 500g,"3,050",50,0,20,40,490,0,0,90,0,0,100,0,0,0,0,0,0,0,790,245,"1,035",0.72,23.70%,"34,250",102,920,"31,510","3,229",7,173,20,16,0,0,0,273,482,"3,286.90",0,0,0,0,0.00,110,17,13,0,0,0,191,331," 31,232 ",103.69,920,"28,733.4","2,980",0,0,63,88,151,127.27,30.16,"3,018",9.66%,"2,776.6",9.66%,307.40,10.32%,0.00,0.00,"al sacar muestra se nota falla de impresión en color magenta, se cambia base porta raclas, es necesario recalibrar por falla del sistema de temperatura single, falla de calibracion estac 9, se realiza produccion a 150 m/m",5.26,REPETICION,2,3500,482,CUMPLE,"32,000",-768,0,QUIMATIC.SPA.IMP,ALUMINIO
01-6115,NF,5/5/26,TMAPAL121B001,16641,LAMINACION,1,MCL,"ALIMENTOS POLAR COMERCIAL, C.A.",ALUMINIO LAMINADO IMPRESO MAVESA 250 g,"3,590",45,0,35,20,160,0,0,95,15,0,20,0,0,0,0,0,0,0,390,330,720,0.50,45.83%,"36,130",103,1025,"37,033","3,750.00",7,132,20,22,0,0,0,193,367,"3,820.30",0,0,0,0,0.00,40,16,12,0,0,0,126,194," 33,231 ",103.41,"1,025","34,061.8","3,522",0,0,92,81,173,100.70,46.15,"2,899",8.72%,"2,971.5",8.72%,298.00,8.46%,0.00,0.00,"falla de impresión ejemplar lado guia de corte, se limpian en varias ocasiones las raclas",5.08,REPETICION,2,3500,601,0,"34,000",-769,1490,RETANA,ALUMINIO
01-6099,NF,5/5/26,TMASYY121A001,16440,LAMINACION,1,MCL,"ALIMENTOS SERIMAR, C.A.",ALUMINIO LAMINADO IMPRESO YOGURT YOLO ,370,55,0,30,20,200,0,0,20,0,0,75,0,25,0,70,0,0,0,495,30,525,0.36,5.71%,"3,100",103,1025,"3,178",327.00,4,40,0,0,0,0,0,42,0,337.40,0,0,0,0,0,27,0,0,0,0,0,29,56," 3,000 ",103.41,"1,025","3,075.0",318,0,0,13,13,26,100.00,5.71,100,3.33%,102.5,3.33%,19.40,6.10%,0.00,0.00,"Aprobacion, se realizan varios ajustes del color gris, ",8.46,APROBACION,1,3500,"3,400",0,"5,000","-2,000",0,RETANA,ALUMINIO
01-6091,NF,5/5/26,TMCMAL1190004,16643,LAMINACION,1,MCL,"COLOMURAL DE VENEZUELA, C.A",ALUMINIO LAMINADO SIN IMPRESIÓN,"5,000",20,30,0,10,20,0,0,0,0,16,10,0,0,0,0,0,0,0,106,324,430,0.30,75.35%,"41,800",103,1025,"42,845","4,466.50",1,0,0,0,0,0,0,190,190,"4,487.50",0,0,0,0,0.00,0,0,0,0,0,0,120,120," 41,396 ",103.02,"1,025","42,430.9","4,371",0,0,0,70,70,127.77,96.27,404,0.98%,414.1,0.98%,116.30,2.66%,0.00,0.00,se culmina sin novedad,1.65,REPETICION,0,3500,"3,096",CUMPLE,"40,000","1,396",0,RETANA,ALUMINIO
