,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFORME MENSUAL DE PRODUCCION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72m/m,0.12,,,,,,
OLYMPIA,,,Disponibilidad ,Rendimiento,Calidad,,, OEE OLYMPIA ,,,,, 0.1051 , 0.6902 , 0.9350 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MES:,MAYO,,10.51%,69.02%,93.50%,,,6.78%,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAS TRABAJADOS :  ,,22 Dias,31680 Min,528.00 Horas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDIDO,CODIGO DE MAQUINA,FECHA,CODIGO PRODUCTO,O/P,DESTINO,N° DE TRABAJOS,COMPAÑÍA,NOMBRE DEL CLIENTE,PRODUCTO,CLIENTE Kg,TIEMPO DE PARADAS EN MINUTOS,,,,,,,,,,,,,,,,,,TOTAL TIEMPO PARADAS  min.,TIEMPO EFECTIVO PRODUCCION  min.,TOTAL TIEMPO PRODUCCION  min.,DIAS TRABAJADOS,EFICIENCIA DE MAQUINA ,ENTRADA DE MATERIA PRIMA,,,,,,,,,,,,,,,,,SALIDA DE MATERIALES,,,,,,,,,,,,,,,,,,DATOS DE TINTA Kg.,,,VELOCIDAD m/min.,,DESPERDICIO,,,,,,,,OBSERVACIONES,,,,,,,,,,,,
,,,,,,,,,,,PREPARACION,PRE-PRENSA,COLORIMETRIA,CALIDAD,MANTENIMIENTO,Limpieza general de Maquina,PLANIFICACION,LIMPIEZA DE PLANCHA,LIMPIEZA DE TAMBOR CENTRAL,LIMPIEZA DE RODILLO,PRODUCCION,PRUEBAS,LOGISTICA,FALLAS ELECT,APROBACIONES,ESTANDAR DE COLOR,RRHH,FALTA DE  INSUMO /PEDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PELICULAS,,,,,TINTAS Kg,,,,,,,,,CONSUMO,SOLVENTE Lts,,PELICULA DEVOLUCION,,,TINTAS KG EN DEVOLUCION,,,,,,,,PRODUCTO TERMINADO,,,,,SOLVENTE Lts,,CONSUMO DE TINTA BLANCO,CONSUMO DE TINTA VARIAS,CONSUMO TOTAL,VELOCIDAD DE MAQUINA TEORICA ML/min.,VELOCIDAD DE MAQUINA REAL ML/min.,m/l,,m2,,Kg,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m/l,GRAMAJE g/m2,ANCHO mm,m2,Kg,# COLORES,BLANCO,AZUL REFLEX,MAGENTA,AMARILLO,CYAN,ROJO,OTRAS,TOTAL,,PRODUCCION,LIMPIEZA,m/l,m2,Kg,BLANCO,AZUL REFLEX,MAGENTA,AMARILLO,CYAN,ROJO,OTRAS,TOTAL,m/l,GRAMAJE g/m2,ANCHO mm,m2,Kg,PRODUCCION,LIMPIEZA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANT,%,CANT,%,CANT,%,MAT. OBSERVACION,MAT. RECHAZADO,,Tipo de Trabajo ,nº de pantone,Aplic Tinta Humeda,M/L Estandar de Dsp,Metros de Dsp,Cumplimiento Estandar,metros op,Cumplimiento Fabricado,material reciclado,Proveedor,Material,
,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-6023,OP,5/4/26,TMAHSC083C003,16567R,LAMINACION,0,MCL,"ALIMENTOS HEINZ, C.A.",LAMINACION IMPRESA GELATINA SONRISSA FRAMBUESA 132g.,0,85,0,0,0,75,0,0,0,0,0,15,0,0,0,0,0,0,0,175,635,810,0.56,78.41%,"26,529",83,243,"6,447",487.26,1,0,0,0,0,0,0,40,40,491.16,0,0,0,0,0.00,0,0,0,0,0,0,27,27,"25,528",78.49,243,"6,203.3",486.90,0,0,0,13,13,40.18,31.50,"1,001",3.92%,243.2,3.92%,4.26,0.87%,0.00,0.00,aplicación de compuesto deslizante para mjorar cof,REPROCESO,0,2.10,3500,2499.00,CUMPLE,26000,-472,0,,,
000pr,OP,5/5/26,000pr,000pr,PRUEBA,0,CX,PRUEBAS,PRUEBAS VARIAS,0,130,0,0,0,,0,0,10,0,40,0,100,0,0,0,0,0,0,280,80,360,0.25,22.31%,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00%,0.0,0.00%,0.00,100.00%,0.00,0.00,se realiza prueba con material de plastico el empaque y venefoil,PRUEBA,0,0.00,0,0.00,0.00,0,0,0,,,
01-6083,OF,5/6/26,TMARMZ044D001,16626,LAMINACION,1,MCL,"ALFONZO RIVAS & CIA, C.A.",LAMINACION IMPRESA MAIZINA 200g,"1,160",110,0,15,15,0,0,0,20,0,40,0,0,0,0,0,0,0,0,200,280,480,0.33,58.35%,"35,000",18,790,"27,650",514,2,0,256,0,0,0,0,0,256,567.10,0,0,0,0,0,0,78,0,0,0,0,0,78,"33,652",19.37,790,"26,585.1",515,0,0,0,178,178,120.10,70.08,"1,348",4.01%,"1,064.9",4.01%,52.10,10.12%,0.00,0.00,"se pasa notificacion de falla por defecto en el fondo,",REPETICION,2,6.70,3500,2152.00,CUMPLE,33500,152,0,TELEPLASTIC,BOPP OCTS TRANSPARENTE,
01-6023,OP,5/7/26,TMAHSC083C003,16567R,LAMINACION,0,MCL,"ALIMENTOS HEINZ, C.A.",LAMINACION IMPRESA GELATINA SONRISSA FRAMBUESA 132g.,0,70,0,0,20,0,0,0,10,0,0,15,0,0,0,0,0,0,0,115,65,180,0.13,36.25%,"4,750",83,243,"1,154",94,1,0,0,0,0,0,0,16,16,95.12,0,0,0,0,0,0,0,0,0,0,0,13,13,"4,683",79.62,243,"1,138.0",91,0,0,0,3,3,71.61,25.96,67,1.43%,16.3,1.43%,4.52,4.99%,0.00,0.00,aplicación de compuesto deslizante para mjorar cof,REPROCESO,0,2.64,0,-67.00,NO CUMPLE,0,0,0,,,
01-6121,OF,5/7/26,TMMCGP207A001,16660,LAMINACION,1,MCL,MORROCEL C.A.,LINNER MTP  IMPRESO GARANTIA DE PUREZA,"4,500",30,40,0,15,0,0,0,15,0,0,0,0,60,0,0,0,60,0,220,80,300,0.21,26.76%,"24,600",60,975,"23,985","1,425",1,0,0,0,0,0,27,0,27,"1,429.20",0,0,0,0,0,0,0,0,0,0,13,0,13,"23,400",58.73,975,"22,815.0","1,340",0,0,0,14,14,291.04,77.90,"1,200",5.13%,"1,170.0",5.13%,89.20,6.66%,0.00,0.00,se realiza produccion a 250 m/m ,REPETICION,0,0.61,3500,2300.00,CUMPLE,20500,2900,0,INTERNACIONAL.PAPER,PAPEL CHAMBRIL PREMIER,
01-6083,OP,5/11/26,TMARMZ044D001,16626.,LAMINACION,1,MCL,"ALFONZO RIVAS & CIA, C.A.",LAMINACION IMPRESA MAIZINA 200g,0,115,20,20,50,0,0,0,55,20,0,0,0,0,0,0,0,0,0,280,260,540,0.38,48.19%,"32,327",44,780,"25,215","1,112",1,0,0,0,0,0,0,140,140,"1,129.80",0,0,0,0,0,0,0,0,0,0,0,82,82,"30,531",44.43,780,"23,814.2","1,058",0,0,0,58,58,117.25,56.50,"1,796",5.88%,"1,400.9",5.88%,71.80,6.79%,0.00,0.00,aplicación de compuesto deslizante,PROCESO,0,2.44,3500,1704.00,CUMPLE,32500,-1969,0,TELEPLASTIC,BOPP OCTS TRANSPARENTE,
